timestamp,route_id,delay_seconds
2023-01-01,DEL1,74.31
2023-01-01,DEL1,68.15
2023-01-01,DEL1,53.04
2023-01-01,DEL1,62.35
2023-01-01,DEL1,60.0
2023-01-01,DEL1,45.44
2023-01-01,DEL1,43.26
2023-01-01,DEL1,65.04
2023-01-01,DEL1,51.79
2023-01-01,DEL1,27.39
2023-01-01,DEL1,56.54
2023-01-01,DEL1,49.3
2023-01-01,DEL1,47.05
2023-01-01,DEL1,49.84
2023-01-01,DEL1,55.45
2023-01-01,DEL1,72.0
2023-01-01,DEL1,72.82
2023-01-01,DEL1,73.47
2023-01-01,DEL1,48.2
2023-01-01,DEL1,71.62
2023-01-01,DEL1,23.92
2023-01-01,DEL1,59.21
2023-01-01,DEL1,67.69
2023-01-01,DEL1,55.41
2023-01-01,DEL1,60.43
2023-01-01,DEL1,44.67
2023-01-01,DEL1,39.16
2023-01-01,DEL1,85.59
2023-01-01,DEL1,74.96
2023-01-01,DEL1,56.91
2023-01-01,DEL1,61.69
2023-01-01,DEL1,31.04
2023-01-01,DEL1,24.82
2023-01-01,DEL1,55.9
2023-01-01,DEL1,87.01
2023-01-01,DEL1,59.28
2023-01-01,DEL1,39.8
2023-01-01,DEL1,49.36
2023-01-01,DEL1,58.19
2023-01-01,DEL1,76.76
2023-01-01,DEL1,51.82
2023-01-01,DEL1,79.82
2023-01-01,DEL1,25.93
2023-01-01,DEL1,53.62
2023-01-01,DEL1,33.09
2023-01-01,DEL1,77.63
2023-01-01,DEL1,35.82
2023-01-01,DEL1,48.41
2023-01-01,DEL1,50.18
2023-01-01,DEL1,67.67
2023-01-01,DEL2,69.9
2023-01-01,DEL2,61.51
2023-01-01,DEL2,50.7
2023-01-01,DEL2,50.38
2023-01-01,DEL2,24.11
2023-01-01,DEL2,35.19
2023-01-01,DEL2,8.59
2023-01-01,DEL2,54.13
2023-01-01,DEL2,62.11
2023-01-01,DEL2,52.61
2023-01-01,DEL2,72.26
2023-01-01,DEL2,78.03
2023-01-01,DEL2,81.43
2023-01-01,DEL2,70.85
2023-01-01,DEL2,63.74
2023-01-01,DEL2,46.43
2023-01-01,DEL2,55.04
2023-01-01,DEL2,60.31
2023-01-01,DEL2,88.85
2023-01-01,DEL2,49.2
2023-01-01,DEL2,56.32
2023-01-01,DEL2,52.32
2023-01-01,DEL2,65.65
2023-01-01,DEL2,59.26
2023-01-01,DEL2,27.16
2023-01-01,DEL2,39.87
2023-01-01,DEL2,49.72
2023-01-01,DEL2,59.3
2023-01-01,DEL2,92.86
2023-01-01,DEL2,39.29
2023-01-01,DEL2,74.41
2023-01-01,DEL2,42.23
2023-01-01,DEL2,38.61
2023-01-01,DEL2,40.67
2023-01-01,DEL3,42.68
2023-01-01,DEL3,78.23
2023-01-01,DEL3,68.83
2023-01-01,DEL3,94.42
2023-01-01,DEL3,60.37
2023-01-01,DEL3,33.97
2023-01-01,DEL3,53.0
2023-01-01,DEL3,108.97
2023-01-01,DEL3,76.64
2023-01-01,DEL3,46.89
2023-01-01,DEL3,51.8
2023-01-01,DEL3,49.81
2023-01-01,DEL3,68.55
2023-01-01,DEL3,62.51
2023-01-01,DEL3,48.3
2023-01-01,DEL3,77.47
2023-01-01,DEL3,32.1
2023-01-01,DEL3,60.99
2023-01-01,DEL3,69.31
2023-01-01,DEL3,60.84
2023-01-01,DEL3,65.2
2023-01-01,DEL3,69.14
2023-01-01,DEL3,50.3
2023-01-01,DEL3,69.5
2023-01-01,DEL3,17.27
2023-01-01,DEL3,19.71
2023-01-01,DEL3,78.96
2023-01-01,DEL3,30.89
2023-01-01,DEL3,62.01
2023-01-01,DEL3,19.08
2023-01-01,DEL3,76.32
2023-01-01,DEL3,48.36
2023-01-01,DEL3,5.7
2023-01-01,DEL3,71.47
2023-01-01,DEL3,89.28
2023-01-01,DEL3,65.29
2023-01-01,DEL3,68.83
2023-01-01,DEL3,46.05
2023-01-01,DEL3,40.8
2023-01-01,DEL3,71.04
2023-01-01,DEL3,41.02
2023-01-01,DEL3,16.28
2023-01-01,DEL4,76.88
2023-01-01,DEL4,50.94
2023-01-01,DEL4,43.59
2023-01-01,DEL4,75.26
2023-01-01,DEL4,38.06
2023-01-01,DEL4,59.44
2023-01-01,DEL4,30.91
2023-01-01,DEL4,81.08
2023-01-01,DEL4,29.28
2023-01-01,DEL4,39.42
2023-01-01,DEL4,60.89
2023-01-01,DEL4,44.68
2023-01-01,DEL4,69.22
2023-01-01,DEL4,44.64
2023-01-01,DEL4,51.93
2023-01-01,DEL4,78.1
2023-01-01,DEL4,27.32
2023-01-01,DEL4,70.68
2023-01-01,DEL4,73.83
2023-01-01,DEL4,38.32
2023-01-01,DEL4,51.61
2023-01-01,DEL4,23.8
2023-01-01,DEL4,55.09
2023-01-01,DEL4,60.32
2023-01-01,DEL4,47.61
2023-01-01,DEL4,80.36
2023-01-01,DEL4,76.79
2023-01-01,DEL4,34.1
2023-01-01,DEL4,37.91
2023-01-01,DEL4,48.22
2023-01-01,DEL4,91.47
2023-01-01,DEL5,102.82
2023-01-01,DEL5,94.67
2023-01-01,DEL5,59.22
2023-01-01,DEL5,49.21
2023-01-01,DEL5,35.94
2023-01-01,DEL5,67.41
2023-01-01,DEL5,88.87
2023-01-01,DEL5,45.75
2023-01-01,DEL5,50.7
2023-01-01,DEL5,59.25
2023-01-01,DEL5,58.48
2023-01-01,DEL5,76.83
2023-01-01,DEL5,21.3
2023-01-01,DEL5,32.66
2023-01-01,DEL5,74.39
2023-01-01,DEL5,87.38
2023-01-01,DEL5,79.2
2023-01-01,DEL5,5.0
2023-01-01,DEL5,47.16
2023-01-01,DEL5,63.39
2023-01-01,DEL5,53.48
2023-01-01,DEL5,89.39
2023-01-01,DEL5,42.31
2023-01-01,DEL5,50.11
2023-01-01,DEL5,44.6
2023-01-01,DEL5,85.06
2023-01-01,DEL5,59.57
2023-01-01,DEL5,82.09
2023-01-01,DEL5,57.37
2023-01-01,DEL5,48.69
2023-01-01,DEL5,45.73
2023-01-01,DEL5,64.41
2023-01-01,DEL5,87.07
2023-01-01,DEL5,67.53
2023-01-01,DEL5,45.08
2023-01-01,DEL5,55.71
2023-01-01,DEL6,82.11
2023-01-01,DEL6,28.77
2023-01-01,DEL6,62.09
2023-01-01,DEL6,30.79
2023-01-01,DEL6,42.13
2023-01-01,DEL6,52.83
2023-01-01,DEL6,62.52
2023-01-01,DEL6,47.63
2023-01-01,DEL6,62.24
2023-01-01,DEL6,47.14
2023-01-01,DEL6,78.6
2023-01-01,DEL6,59.3
2023-01-01,DEL6,20.82
2023-01-01,DEL6,52.57
2023-01-01,DEL6,56.83
2023-01-01,DEL6,29.62
2023-01-01,DEL6,51.48
2023-01-01,DEL6,42.17
2023-01-01,DEL6,108.21
2023-01-01,DEL6,51.57
2023-01-01,DEL6,64.22
2023-01-01,DEL6,58.79
2023-01-01,DEL6,60.16
2023-01-01,DEL6,79.03
2023-01-01,DEL6,74.22
2023-01-01,DEL6,40.03
2023-01-01,DEL6,26.91
2023-01-01,DEL6,64.64
2023-01-01,DEL6,65.35
2023-01-01,DEL6,30.91
2023-01-01,DEL6,51.15
2023-01-01,DEL6,78.61
2023-01-01,DEL6,50.54
2023-01-01,DEL6,63.67
2023-01-01,DEL7,70.28
2023-01-01,DEL7,64.64
2023-01-01,DEL7,30.18
2023-01-01,DEL7,81.06
2023-01-01,DEL7,20.23
2023-01-01,DEL7,69.88
2023-01-01,DEL7,85.28
2023-01-01,DEL7,94.79
2023-01-01,DEL7,86.12
2023-01-01,DEL7,38.36
2023-01-01,DEL7,47.02
2023-01-01,DEL7,83.79
2023-01-01,DEL7,76.33
