date,city,avg_delay_minutes,avg_temp,humidity,weather_condition
2023-01-01,Bangalore,0.997967359,26.63171656,56.30825626,Light Rain
2023-01-01,Bangalore,1.03406562,26.63171656,56.30825626,Light Rain
2023-01-01,Bangalore,1.055290763,26.63171656,56.30825626,Light Rain
2023-01-01,Bangalore,0.907542727,26.63171656,56.30825626,Light Rain
2023-01-01,Bangalore,1.052812978,26.63171656,56.30825626,Light Rain
2023-01-01,Chennai,0.880534533,32.47075552,46.42111699,Moderate Rain
2023-01-01,Chennai,0.953522357,32.47075552,46.42111699,Moderate Rain
2023-01-01,Chennai,1.313125326,32.47075552,46.42111699,Moderate Rain
2023-01-01,Chennai,1.097273624,32.47075552,46.42111699,Moderate Rain
2023-01-01,Chennai,1.13642705,32.47075552,46.42111699,Moderate Rain
2023-01-01,Delhi,0.575532974,27.6944416,71.03183896,Light Rain
2023-01-01,Delhi,0.586756537,27.6944416,71.03183896,Light Rain
2023-01-01,Delhi,0.575857737,27.6944416,71.03183896,Light Rain
2023-01-01,Delhi,0.509810456,27.6944416,71.03183896,Light Rain
2023-01-01,Delhi,0.56655041,27.6944416,71.03183896,Light Rain
2023-01-01,Kolkata,0.545041018,27.74276458,46.24536365,Light Rain
2023-01-01,Kolkata,0.606233313,27.74276458,46.24536365,Light Rain
2023-01-01,Kolkata,0.561153941,27.74276458,46.24536365,Light Rain
2023-01-01,Kolkata,0.479984427,27.74276458,46.24536365,Light Rain
2023-01-01,Kolkata,0.506672795,27.74276458,46.24536365,Light Rain
2023-01-01,Mumbai,0.464615245,22.44181459,43.3056895,Light Rain
2023-01-01,Mumbai,0.476958907,22.44181459,43.3056895,Light Rain
2023-01-01,Mumbai,0.542412169,22.44181459,43.3056895,Light Rain
2023-01-01,Mumbai,0.441346155,22.44181459,43.3056895,Light Rain
2023-01-01,Mumbai,0.491880771,22.44181459,43.3056895,Light Rain
2023-01-02,Bangalore,0.987771272,27.99249531,58.72373111,Clear
2023-01-02,Bangalore,0.983873655,27.99249531,58.72373111,Clear
2023-01-02,Bangalore,1.010737051,27.99249531,58.72373111,Clear
2023-01-02,Bangalore,1.045738518,27.99249531,58.72373111,Clear
2023-01-02,Bangalore,0.849144761,27.99249531,58.72373111,Clear
2023-01-02,Chennai,0.922785203,32.00094238,72.12374054,Light Rain
2023-01-02,Chennai,1.216646613,32.00094238,72.12374054,Light Rain
2023-01-02,Chennai,0.946313474,32.00094238,72.12374054,Light Rain
2023-01-02,Chennai,0.919959833,32.00094238,72.12374054,Light Rain
2023-01-02,Chennai,1.172778326,32.00094238,72.12374054,Light Rain
2023-01-02,Delhi,0.558891653,29.74473395,47.28710263,Light Rain
2023-01-02,Delhi,0.608999534,29.74473395,47.28710263,Light Rain
2023-01-02,Delhi,0.545283404,29.74473395,47.28710263,Light Rain
2023-01-02,Delhi,0.551716631,29.74473395,47.28710263,Light Rain
2023-01-02,Delhi,0.611069452,29.74473395,47.28710263,Light Rain
2023-01-02,Kolkata,0.473687095,29.49911489,65.44277098,Light Rain
2023-01-02,Kolkata,0.601793523,29.49911489,65.44277098,Light Rain
2023-01-02,Kolkata,0.537494093,29.49911489,65.44277098,Light Rain
2023-01-02,Kolkata,0.55603985,29.49911489,65.44277098,Light Rain
2023-01-02,Kolkata,0.491069935,29.49911489,65.44277098,Light Rain
2023-01-02,Mumbai,0.52601963,32.93673668,52.82765585,Moderate Rain
2023-01-02,Mumbai,0.572144315,32.93673668,52.82765585,Moderate Rain
2023-01-02,Mumbai,0.502914265,32.93673668,52.82765585,Moderate Rain
2023-01-02,Mumbai,0.494993567,32.93673668,52.82765585,Moderate Rain
2023-01-02,Mumbai,0.432338186,32.93673668,52.82765585,Moderate Rain
2023-01-03,Bangalore,0.855249098,28.20210465,44.83189198,Light Rain
2023-01-03,Bangalore,0.924579935,28.20210465,44.83189198,Light Rain
2023-01-03,Bangalore,0.917604114,28.20210465,44.83189198,Light Rain
2023-01-03,Bangalore,1.30896105,28.20210465,44.83189198,Light Rain
2023-01-03,Bangalore,1.328087585,28.20210465,44.83189198,Light Rain
2023-01-03,Chennai,0.785957737,33.02720485,69.23296561,Moderate Rain
2023-01-03,Chennai,1.01519653,33.02720485,69.23296561,Moderate Rain
2023-01-03,Chennai,0.956370788,33.02720485,69.23296561,Moderate Rain
2023-01-03,Chennai,0.861703878,33.02720485,69.23296561,Moderate Rain
2023-01-03,Chennai,0.96940051,33.02720485,69.23296561,Moderate Rain
2023-01-03,Delhi,0.468525207,27.57267465,52.61201817,Clear
2023-01-03,Delhi,0.397153738,27.57267465,52.61201817,Clear
2023-01-03,Delhi,0.518318498,27.57267465,52.61201817,Clear
2023-01-03,Delhi,0.431795475,27.57267465,52.61201817,Clear
2023-01-03,Delhi,0.563671569,27.57267465,52.61201817,Clear
2023-01-03,Kolkata,0.528397023,27.47929473,62.84251124,Moderate Rain
2023-01-03,Kolkata,0.565777351,27.47929473,62.84251124,Moderate Rain
2023-01-03,Kolkata,0.487690783,27.47929473,62.84251124,Moderate Rain
2023-01-03,Kolkata,0.409624669,27.47929473,62.84251124,Moderate Rain
2023-01-03,Kolkata,0.442939253,27.47929473,62.84251124,Moderate Rain
2023-01-03,Mumbai,0.545833516,26.91292253,42.03203249,Light Rain
2023-01-03,Mumbai,0.609731706,26.91292253,42.03203249,Light Rain
2023-01-03,Mumbai,0.502372357,26.91292253,42.03203249,Light Rain
2023-01-03,Mumbai,0.579751812,26.91292253,42.03203249,Light Rain
2023-01-03,Mumbai,0.590335579,26.91292253,42.03203249,Light Rain
2023-01-04,Bangalore,1.037830532,27.32481301,65.69905731,Light Rain
2023-01-04,Bangalore,1.049485668,27.32481301,65.69905731,Light Rain
2023-01-04,Bangalore,0.911807964,27.32481301,65.69905731,Light Rain
2023-01-04,Bangalore,0.839628388,27.32481301,65.69905731,Light Rain
2023-01-04,Bangalore,0.849955317,27.32481301,65.69905731,Light Rain
2023-01-04,Chennai,1.061855887,26.3247171,54.69720224,Moderate Rain
2023-01-04,Chennai,0.932607357,26.3247171,54.69720224,Moderate Rain
2023-01-04,Chennai,0.969869911,26.3247171,54.69720224,Moderate Rain
2023-01-04,Chennai,0.931925138,26.3247171,54.69720224,Moderate Rain
2023-01-04,Chennai,1.182743175,26.3247171,54.69720224,Moderate Rain
2023-01-04,Delhi,0.47771954,27.9895387,41.96432089,Clear
2023-01-04,Delhi,0.481728922,27.9895387,41.96432089,Clear
2023-01-04,Delhi,0.60549484,27.9895387,41.96432089,Clear
2023-01-04,Delhi,0.543755317,27.9895387,41.96432089,Clear
2023-01-04,Delhi,0.426127602,27.9895387,41.96432089,Clear
2023-01-04,Kolkata,0.443746187,27.00516417,69.49623151,Clear
2023-01-04,Kolkata,0.515907664,27.00516417,69.49623151,Clear
2023-01-04,Kolkata,0.447139963,27.00516417,69.49623151,Clear
2023-01-04,Kolkata,0.536726237,27.00516417,69.49623151,Clear
2023-01-04,Kolkata,0.575443541,27.00516417,69.49623151,Clear
2023-01-04,Mumbai,0.366777863,33.841382,63.61484224,Moderate Rain
2023-01-04,Mumbai,0.466831681,33.841382,63.61484224,Moderate Rain
2023-01-04,Mumbai,0.466221863,33.841382,63.61484224,Moderate Rain
2023-01-04,Mumbai,0.514622873,33.841382,63.61484224,Moderate Rain
2023-01-04,Mumbai,0.542273462,33.841382,63.61484224,Moderate Rain
2023-01-05,Bangalore,0.879294505,22.34025523,66.30443694,Moderate Rain
