date,city,avg_delay_minutes,avg_temp,precipitation,snowfall,wind_speed,weather_condition,season
2023-01-01,Boston,0.93,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.42,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.89,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.08,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.27,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.0,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.27,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.28,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.9,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.46,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.02,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.37,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.19,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.32,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.34,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.28,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.29,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.1,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.31,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.37,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.29,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.16,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.89,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.19,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.15,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.25,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.97,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.98,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.07,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.37,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.07,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.46,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.91,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.17,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.0,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.08,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.33,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.26,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.38,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.1,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.29,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.26,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.22,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.47,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.27,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.91,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.27,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.89,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.06,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.3,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.17,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.94,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.2,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.93,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.06,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.4,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.25,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.4,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.35,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.34,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.16,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.4,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.09,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.99,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.96,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.04,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.93,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.16,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.11,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.23,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.92,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.94,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.97,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.96,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.41,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.3,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.02,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.1,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.23,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.91,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.23,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.17,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.98,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.26,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.97,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,0.96,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.17,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.35,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.24,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.26,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.48,50.9,0.0,0.0,24.6,Windy,Winter
2023-01-01,Boston,1.13,50.9,0.0,0.0,24.6,Windy,Winter
